Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source
AARDVARK,1,814,3.085383045150495e-08,2.022180772079572e-08,4.05933942881164e-06,158,0,0,0,0,0,0,0,0,2,12of12inf
AARDVARKS,2,3,1.1371190584092733e-10,7.898767473187673e-12,8.82934177519478e-09,1,0,0,0,0,0,0,0,0,2,12of12inf
ABACI,3,9,3.4113571752278197e-10,1.067549073766158e-10,5.054031268112896e-08,7,0,0,0,0,0,0,0,0,3,12of12inf
ABACK,4,29,1.0992150897956309e-09,6.073924787109245e-10,1.5238040710410293e-07,28,0,0,0,0,0,0,0,0,2,12of12inf
ABACUS,5,9921,3.7604527261594667e-07,3.8367300987733974e-07,3.3921207407000546e-05,1355,0,0,0,0,0,0,0,0,3,12of12inf
ABACUSES,6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABAFT,7,4,1.5161587445456976e-10,2.1018779028812722e-11,2.3495055953051062e-08,1,0,0,0,0,0,0,0,0,2,12of12inf
ABALONE,8,151,5.723499260660009e-09,4.678977597563818e-09,1.022282868343739e-06,54,0,0,0,0,0,0,0,0,4,12of12inf
ABALONES,9,1,3.790396861364244e-11,7.560852952251586e-11,8.451616667287296e-08,1,0,0,0,0,0,0,0,0,4,12of12inf
ABANDON,10,161792,6.132558889938438e-06,4.843331403767754e-06,3.2440186759062826e-05,79131,2009,0,0,0,0,0,0,0,3,12of12inf
ABANDONED,11,266115,1.0086814607619459e-05,1.0277266341991185e-05,8.995386581390793e-05,117356,2009,0,0,0,0,0,0,0,3,12of12inf
ABANDONING,12,23033,8.730421090780264e-07,8.223857811762203e-07,1.1920984100229301e-05,14413,2009,0,0,0,0,0,0,0,4,12of12inf
ABANDONMENT,13,324108,1.2284979459430424e-05,1.2033670877419147e-05,7.957056414734779e-05,108201,2009,0,0,0,0,0,0,0,4,12of12inf
ABANDONMENTS,14,17763,6.732881944841307e-07,9.069472008679234e-07,2.2279157379024127e-05,7397,2009,0,0,0,0,0,0,0,4,12of12inf
ABANDONS,15,8068,3.058092187748672e-07,1.6199772428226663e-07,3.528576325336994e-06,5787,2009,0,0,0,0,0,0,0,3,12of12inf
ABASE,16,49,1.8572944620684796e-09,2.30489732851136e-09,5.813439699735546e-07,43,0,0,0,0,0,0,0,0,2,12of12inf
ABASED,17,75,2.842797646023183e-09,6.7475949652300505e-09,1.7436030603385758e-06,62,0,0,0,0,0,0,0,0,2,12of12inf
ABASEMENT,18,15,5.685595292046366e-10,2.3831207585691963e-10,9.961323786564802e-08,11,0,0,0,0,0,0,0,0,3,12of12inf
ABASEMENTS,19,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABASES,20,3,1.1371190584092733e-10,1.2632169294500895e-10,9.953022312584464e-08,3,0,0,0,0,0,0,0,0,3,12of12inf
ABASH,21,5,1.895198430682122e-10,1.014888354215264e-10,5.1633012238387835e-08,5,0,0,0,0,0,0,0,0,2,12of12inf
ABASHED,22,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABASHEDLY,23,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABASHES,24,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABASHING,25,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABASHMENT,26,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABASHMENTS,27,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABASING,28,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABATE,29,35169,1.333044672173191e-06,8.785605581221936e-07,1.172726564465924e-05,20314,0,0,0,0,0,0,0,0,2,12of12inf
ABATED,30,41962,1.5905263309656642e-06,9.303217966368638e-07,1.1859513912587476e-05,19485,0,0,0,0,0,0,0,0,3,12of12inf
ABATEMENT,31,163128,6.183198592006264e-06,3.4887922939869703e-06,3.7934150934394716e-05,49459,0,0,0,0,0,0,0,0,3,12of12inf
ABATEMENTS,32,25559,9.687875337960872e-07,6.755664042819683e-07,1.4116681344678033e-05,11889,0,0,0,0,0,0,0,0,3,12of12inf
ABATES,33,1037,3.930641545234721e-08,2.810536427689182e-08,1.805790901135631e-06,740,0,0,0,0,0,0,0,0,2,12of12inf
ABATING,34,2620,9.93083977677432e-08,6.660849041451597e-08,2.6139056614076983e-06,1907,0,0,0,0,0,0,0,0,3,12of12inf
ABATTOIR,35,201,7.61869769134213e-09,4.9717106733684266e-09,7.229237340491911e-07,80,0,0,0,0,0,0,0,0,3,12of12inf
ABATTOIRS,36,160,6.064634978182791e-09,4.084025897014979e-09,9.555511671441049e-07,51,0,0,0,0,0,0,0,0,3,12of12inf
ABBE,37,624,2.3652076414912882e-08,2.5636546368899284e-08,4.5295225050226406e-06,255,0,0,0,0,0,0,0,0,1,12of12inf
